"id","city","name","geo_hash","latitude","longitude"
"7h5KGH30loo5gGWGSmxEGmQgqcbu8uru","auckland","Z Sunnybrae","rckq8qp","-36.7923009","174.7472447"
"7li3riar2dt4hZtRU0DlpM7CUYsHa6ZM","auckland","BP Connect Newmarket","rckq30","-36.867157","174.774944"
"7mGfQvhQyd6tRoWtTyVlNwdANonKH8F2","auckland","Mobil Fuel Stop","rckmf7","-36.9379053286","174.834806083"
"7qhUQ5kVkpy7b0FjpCejNGv5YLdQwZpn","wellington","Challenge Moonshine","rbsqp1","-41.124614","175.03935"
"7vJWQnMsUrFhfVNpkBffv63NsM48r2I7","auckland","BP Connect Clifton","rckq9m","-36.7979736539","174.783776005"
"7xPcBKYOriXVbBpKFVtNKxNiKShJ4V00","christchurch","RD Petroleum Oamaru","rb68m1y","-43.539582748301","172.49392496771"
"86BPfIIN2OIPGwGDWcUESa5vcQeffoX4","christchurch","Mobil Creyke Road","rb68rj","-43.51934495293","172.57964160293"
"8BwdvIIQ03xCWELAZgEtzmnJRLMigSaD","auckland","GAS Mangere Bridge","rckmc7","-36.9394592464","174.786480445"
"8K4okGWGHGADDlN7U3VbcvyvMUUEjoMm","auckland","BP 2go Epsom","rckq15","-36.8971097","174.7734316"
"8NaSQZWnAwiaKo5ZffWuK3MCLSYH85o6","wellington","Pak 'n Save Porirua","rbsq483","-41.130475","174.838002"
"8NlRZvdHv2JZwH0KffHVdl0UBWbz40N7","christchurch","Tasman Fuels Pages Rd","rb6b3v3","-43.520309751583","172.69662059865"
"8Nw808rND1BxWSYBeFLZBf8KzL3qGpE3","auckland","GAS Atkinson Avenue","rckmfes","-36.9378313529","174.842752562"
"8PKubqZ1UNJpc1SpQqzEqj61qdX78Rei","auckland","Challenge Milford, North Shore Auckland","rckqbc","-36.7731705048","174.767408288"
"8R0pwIKmJHMdBkAvGCOeQ27C3JBVMJpU","auckland","Mobil Clendon","rckm74","-37.0321284084","174.868895295"
"8UipzrNSWCcOlb0ycrCS6rUtxTsEPdci","christchurch","Mobil Aranui","rb6b3vv","-43.5176691302","172.701533669"
"8fH8DhaH1nufbqWxuECrcHDSvUcvxBn3","hamilton","Waitomo Cambridge","rckb2vn","-37.896431951022","175.47095002752"
"8lwGK3XNu4URmA2PtikmiM5S6M61rQkA","auckland","Mobil Karangahape Road","rckq29g","-36.85928","174.753"
"8sBXILfzFdAqKqKakPBxawUa5k8RdPEP","auckland","GAS Glen Innes","rckq4yw","-36.878054","174.85659"
"A04SN8DhaEixGpBjWqO3a1wKNwuWyo1x","christchurch","Allied Prebbleton","rb68j9","-43.583189","172.510294"
"A5aeoOQz0E2K1zXTrrdGfPTmcFxhVcKp","auckland","Caltex Newton","rckq29q",,
"A7FZT1LQ7cv3Op7jeWbXVWrFAAE4FruZ","hamilton","New World Te Rapa","rck95xm","-37.752621","175.239849"
"AJSl5wQLYhfm3sm2qSgIAipbrvMBxyW5","hamilton","Pak 'n Save Mill Street","rck9h6m","-37.7797229","175.27273"
"ANeOhAqBYL6VdE7IdfTTQOwJG0Z2hYLy","christchurch","Gull Woolston","rb6b30","-43.545261","172.671631"
"AXi6MzQcZJd3YziVjSLBRz28Rpx52B18","christchurch","Z Bishopdale","rb68x6","-43.4900917928","172.592869779"
"AfUQFPC16ykJnFN3cs7Fr1v5EGQjVeJK","christchurch","BP Connect Marshlands","rb6b8v","-43.4747141","172.6596624"
"AnSI5g4eIwmZJiRYGGwTYG53moqcgAXZ","wellington","BP Connect Johnsonville","rbsm3z4","-41.2254238357","174.807191061"
"As5SgbdZfn8CLmzqhyXrK3XiWKXUF2vn","wellington","Z Vivian St","rbsm14d","-41.2945329211","174.774104773"
"AsvF0csoWXcoUxNKRv3SUyaRpd74B7yI","auckland","Z Te Atatu","rcknq7","-36.8520274539","174.650969286"
"AtuXUpP1KpVZztkCbAXsOQGRf8ABqMyK","auckland","Z Highbrook","rckmg7","-36.937723","174.872706"
"Axxr8pIgLfPRIQZFnfbDSNGCnyIcaflH","auckland","Z Henderson Valley","rcknjs","-36.8917228","174.6232365"
"BACTv3dKPIeSUwXHVTF4XhDo2LMupveJ","auckland","Mobil Clearview","rckq68r","-36.8683367745","174.846739689"
"BBIZyCrwUzAsI3emI2PYMfnjwIGwzpQR","hamilton","Mobil Cambridge","rckb2vu","-37.8918794911","175.469383111"
"BUnuz7YXEdkAReg0tIc3WKRrwgYMtP2A","wellington","Caltex Stokes Valley S/Stn","rbsmv","-41.1614034973","174.981929208"
"Bey7TseXIdgEnXFVi3kCXVYAwVYtPRcz","auckland","BP Connect Pakuranga","rckq5f5","-36.902035","174.896662"
"Bi8OLFMemi1l6KQnIJQGuqaloKEbu0k7","auckland","Caltex Springs Road","rckmgc","-36.95171","174.89178"
"Bms1RSeEHbWLVoSOzUt3fZg3YntSNMiy","hamilton","g.a.s. Tahuna","rckf9","-37.500674","175.493024"
"BsNssq0DnrjdAQnMAEwjOxikgoXP4dtL","auckland","Gull Greville Road","rckppcqt","-36.730421362","174.724723497"
"BvMfmIzeIv2dOOX6KQlIiceQgSnPRISw","christchurch","Z Waikuku","rb6c9w",,
"C3zdmD2bLW2eYnkzMGqdL1VMtxe4Zf82","auckland","Pak 'n Save Fuel Albany","rckppd","-36.72724","174.7053"
"CFJG08FpDA8SryBJnMsdaVa8uik7x6Gk","auckland","Gull Sel Peacock Drive","rcknjz","-36.874949555","174.630068386"
"CSQkiHujPrZvmVpujmtAylXyXP0DTcKE","christchurch","BP Connect Rolleston","rb6848d","-43.590818","172.379093"
"CkCrIaYy47CEHVG0ejbSV5Ak3RcuQtDs","auckland","Gull Porchester Road","rckmk8",,
"CrpcvpJ8U6fP4xUYafmzwnIxN0G6ptZE","wellington","BP Connect Porirua","rbsmfx5","-41.1376958274","174.840997861"
"Crrg2YpR30uXVwJzqcCHco3NzEK41fs8","hamilton","Z Cambridge","rckb2y54","-37.8914174","175.4669798"
"CwwmpXDbzmQ1zvWGctGdlUEA6NdQOY1K","christchurch","BP Connect Edgeware","rb6b2q","-43.5131744246","172.637806647"
"CxDYGY3G3SI46bk1gA2C4RPyCww7vrm2","auckland","Caltex Sylvia Park","rckq48","-36.914061024573","174.83911511438"
"D3PUSgiq63PNPCGuB1g86u3wRTN35meS","auckland","Z Sylvia Park","rckmfw","-36.9247446199","174.841879314"
"DFXULw2BjEey6gnEtCzU3TG10M3DEjD1","christchurch","Pak 'n Save Rangiora","rb69x8f","-43.3250671","172.5990295"
"DWO7TNCsKYXzYt4xmCGWHiBgnrmVTY5i","christchurch","NPD Harewood","rb68xp","-43.463045","172.583217"
"Dc5pW2qxjj2gNqGy1ElKYPO3Dq02Gdop","auckland","Gull Torbay","rckr0x",,
"DcLknBi2Huhox8e5mFFEPZj6poF1zJyU","auckland","Gull Glen Eden","rcknn2c",,
"De1g8bbneQvAWbzaAimWB3X1Gt2BPvzx","auckland","Challenge Massey, Auckland","rcknmnx","-36.8343597555","174.60455574"
"Dg18idNFzwWpCR57zfQD3NcL8DapmA2h","christchurch","Z Carlton Corner","rb6b2j","-43.5205828","172.6274551"
"DzD11XXZ1DJAgI48bjHxYhYJ33hL12n5","wellington","Mobil Karori","rbsm0k","-41.2847682229","174.738156025"
"E46v0vPFrqVZfnAACFcVCjq2BRqF6LPc","christchurch","RD Waterloo","rb68m1w","-43.54104","172.4946"
"EFayp7AAVUavzyPhtGg4d0jCssMsSoGc","auckland","Waitomo Wiri","rckm7jc","-37.014295938102","174.860408732"
"EKxLlqeV16tzzGZzmJBR5F2dpYagRnMP","auckland","Z Royal Oak","rckq10","-36.9111842","174.7736225"
"Eb3c8dSEwtWytrif4jdYDprl0NHzLl4B",,,,"-43.5849648","172.3923906"
"EcDbnPYcvIfIldGJKrOJnvmw1rgn1AtF","auckland","Gull Takapuna","rckq8xp","-36.786719","174.758178"
"EhInRMk11J4N4E58HXT4aFRNd2Ueuuna","wellington","BP Connect Wainuiomata","rbsmkb","-41.2624773263","174.946144235"
"F3YZZ3eEJ2qduDonkKOvSY8fJWRlISnp","auckland","Gull Albany Highway","rcknzk","-36.7560435354","174.702421388"
"F5c40ows0pApAY320TmpD40V7ZaoIzEZ","christchurch","GAS Ohoka","rb69r","-43.363565264","172.577008344"
"F6T4GPMzC6t4cjjQARKVz3L75q7GlRHJ","hamilton","Gull Tramway","rck9jh","-37.768876","175.300583"
"FIGhXDa2XuNMUww3Rw8lUxq1fygDO5J3","christchurch","Challenge Waimak","rb6c09","-43.410147","172.648992"
"FUWhKgvs3rlob608vqhsS8WIXdPpU1Cd","auckland","Caltex Penrose","rckq1c","-36.903448800601","174.80845476479"
"FVU4KnVu1a3NjyJszWGvQB8nhYJYMJTe","wellington","Mobil Paremata","rbsq5h","-41.1061480433","174.86866993"
"FXJbve2jR82azf6JwdJPlblgP3qNfGQO","auckland","Caltex Otara","rckmep","-36.963046626787","174.8692467995"
"FZUV6HdGDg0EuXTGMdbNEweEgJ227A4m","wellington","Caltex Porirua","rbsmfxg","-41.1332778868","174.841832618"
"FfSlvWE0GtCrEm1RZqbAFEbbFN4FrHRL","auckland","Caltex Leabank","rckm7e","-37.027849423088","174.88683478758"
"FlqkDRFOj3Kn5lra5TDSCDUOj1xmoyig","auckland","Gull Whenuapai","rckntm","-36.793282007594","174.61536811689"
"FwHkhyYKxsJeWFfd8pnU6h5uBhX5JhjT","auckland","Gull Murphys Road","rckms6","-36.985711681485","174.91920662977"
"FyPCapx7X7HcqT6ro3kBT8jkb41vgjhs","auckland","BP 2go Meadowbank","rckq4q","-36.876567269","174.825646706"
"G2bClVVZ8nSW8R7AlJy3HQ1M5ELaT3Es","hamilton","Mobil Otorohanga Mitsubishi","rchwg",,
